author_email,github_login,resolved_at
unknown.user1@example.com,NULL,2026-08-06T10:00:00.000000+00:00
unknown.user2@example.com,NULL,2026-08-06T10:05:00.000000+00:00
noreply@unknown-domain.io,NULL,2026-08-06T10:10:00.000000+00:00
test.user@gmail.com,NULL,2026-08-06T10:15:00.000000+00:00
unresolved@email.com,NULL,2026-08-06T10:20:00.000000+00:00
old.archive@deprecated.org,NULL,2026-08-06T10:25:00.000000+00:00
inactive.user@old-domain.com,NULL,2026-08-06T10:30:00.000000+00:00
legacy.contact@example.net,NULL,2026-08-06T10:35:00.000000+00:00
orphan.email@unknown.com,NULL,2026-08-06T10:40:00.000000+00:00
pending.resolution@example.org,NULL,2026-08-06T10:45:00.000000+00:00
missing.user123@test.co,NULL,2026-08-06T10:50:00.000000+00:00
unverified.account@demo.io,NULL,2026-08-06T10:55:00.000000+00:00
archived.contact@old-site.com,NULL,2026-08-06T11:00:00.000000+00:00
stale.email@vintage.org,NULL,2026-08-06T11:05:00.000000+00:00
unknown.contributor@anonymous.net,NULL,2026-08-06T11:10:00.000000+00:00
orphan.account@abandoned.io,NULL,2026-08-06T11:15:00.000000+00:00
ghost.user@phantom.com,NULL,2026-08-06T11:20:00.000000+00:00
deprecated.contact@retired.org,NULL,2026-08-06T11:25:00.000000+00:00
phantom.email@ghost.net,NULL,2026-08-06T11:30:00.000000+00:00
